gen,n_eval_approx,best_fom,convergence,t_regen_ps,power_uW,WN_IN,WN_LAT,WP_LAT,WN_TAIL,WP_RST
1,32,1279.3715371819799,0.030423544740139856,39.192029999999995,32.643666,3.943055837778608,1.1941839639148202,1.2709450007297667,4.227330100519696,0.4300309756896378
2,64,1180.0024484201997,0.03551580112405716,31.43698,37.535489999999996,3.89528051940085,1.8589977869239647,1.0689291160184833,7.040335224632453,0.43514031246505946
3,96,1180.0024484201997,0.07681144917866617,31.43698,37.535489999999996,3.89528051940085,1.8589977869239647,1.0689291160184833,7.040335224632453,0.43514031246505946
4,128,1133.6807372169599,0.08595216421446925,33.60816,33.732306,3.8946431937173918,1.2542833192182008,0.6312188604959907,6.628164212934315,0.5618704136030805
5,160,1098.09237096828,0.08712749262308102,37.97226,28.918277999999997,2.1508211397480608,1.0144111584312476,0.6441795012772771,7.22179779605482,0.4240311938604213
