trial,WN_IN,WN_LAT,WP_LAT,WN_TAIL,WP_RST,t_regen_ps,power_uW,fom_raw,fom_final,valid
0,1.8108904159657686,4.7782143788446225,2.2924640063821093,7.986584841970366,0.6158705703255959,44.52158,56.31422400000001,2507.1982289539205,2507.1982289539205,True
1,1.0459808211767092,0.7613762547568976,2.646705024845829,8.011150117432088,1.5212390275855148,125.7569,38.347992000000005,4822.5245951448005,4822.5245951448005,True
2,0.5720457300353086,4.864594334728975,2.557648571713113,4.123391106782762,0.658192946219645,265.5602,60.453774,16054.116314194802,1000000000.0,False
3,1.1419157844870185,1.8690900933179198,1.7453569795091077,6.319450186421157,0.8376157899247887,72.45951000000001,37.16064,2692.6417656864005,2692.6417656864005,True
4,2.641485131528328,1.1277223729341883,1.131261872132976,5.663618432936917,1.107954774115939,46.47227,33.192576,1542.5343538675202,1542.5343538675202,True
5,3.2481158648755475,1.3985320197126188,1.7175789174119345,7.924145688620425,0.43617867686079625,36.21053,37.283868000000005,1350.06862073004,1350.06862073004,True
6,2.6264069816550344,1.2673585565928118,0.5317362054811379,11.488855372533333,1.9436365342422777,43.08646,39.48721200000001,1701.3641803495204,1701.3641803495204,True
7,3.329390718407614,1.870761961280168,0.6178543809768534,8.842330265121568,1.0818500897329462,33.263239999999996,39.9375,1328.4506474999998,1328.4506474999998,True
8,0.9271338219567259,2.728296095500716,0.45078569574417654,11.093204020787821,0.7843991698240278,56.197739999999996,49.774860000000004,2797.2346408164,2797.2346408164,True
9,2.818827995238937,1.9026998424023494,1.7329795759094204,7.4671027934327965,0.6631613070618644,37.10756,39.250223999999996,1456.4800420934398,1456.4800420934398,True
10,3.9174944412375097,3.6494375446471876,1.02033808035256,2.179618756148196,1.4097451440467927,51.68519,44.957502000000005,2323.63703279538,2323.63703279538,True
11,3.6198304181731653,2.4023809625876344,1.218950394644192,9.502100184975433,0.3816098412398784,,,,1000000000.0,False
12,3.2473520333047485,3.3959172547220673,2.0236529476224674,9.30253143508607,1.135250970919036,37.05797,51.312042,1901.5201130747398,1901.5201130747398,True
13,3.2917089731317923,1.5885987895410767,1.4789488388320593,9.476428574708349,0.38571363465910014,,,,1000000000.0,False
14,2.015864982690676,0.6055129208274306,0.9100327396551848,4.744849732824808,1.777837286415191,65.24925,31.337352,2044.738714986,2044.738714986,True
15,3.1904145661642636,2.197435459243821,2.98948364381323,10.469961233886654,1.3083670942456707,44.26491,50.962464,2255.84888233824,2255.84888233824,True
16,3.9977685352454295,2.9721377155418782,0.722984726022714,8.634064286119825,1.001405502118178,30.858420000000002,48.08734200000001,1483.8993961196404,1483.8993961196404,True
17,2.362482463975555,1.286918056211235,1.4695198486446186,6.62114758401128,1.5704812810870215,51.629220000000004,36.76653,1898.2272660066003,1898.2272660066003,True
18,2.9754995320709705,3.8822604116710497,2.054654551987415,10.23755739814073,0.9427239574069444,35.70488,53.79845400000001,1920.8673442555205,1920.8673442555205,True
19,3.582393642177393,2.639221552243998,1.3712436242745496,5.239097845071321,1.2572509862329835,39.959999999999994,42.831396,1711.5425841599997,1711.5425841599997,True
20,1.6216667362395063,1.7779891249083266,1.968672292940338,7.222784515432425,0.5157552325653677,52.17232,37.10849399999999,1936.0362236860797,1936.0362236860797,True
21,2.832381986814892,2.1168101021913373,1.731419849888914,7.4401429845428275,0.7087137952057045,36.86596,40.345272,1487.36718374112,1487.36718374112,True
22,3.6004749968309753,1.5718707288336509,1.779911949675798,8.617413599142173,0.5214514399825612,34.75205,39.915018,1387.1287012869,1387.1287012869,True
23,3.603686518868728,1.059118705246877,2.2989995634439597,8.704596474391993,0.5230188665005195,44.493779999999994,39.984624000000004,1779.06706363872,1779.06706363872,True
24,3.5464036165215536,1.468499471888571,0.7703709632838511,8.677924495840923,0.9083755808241151,33.81396,37.320336,1261.94834869056,1261.94834869056,True
25,2.39210236848035,0.8578678748489681,0.7787270904446879,10.272864972123752,0.951693016785177,43.65976,33.519726,1463.4631924257599,1463.4631924257599,True
26,3.183614445737362,1.424229145193448,0.39235562297488524,6.009662376522493,0.8536900090534381,,,,1000000000.0,False
27,3.438701144496809,0.5394132301947573,0.7289364687634408,11.963545620727391,1.0490488804436064,43.43502,36.529758,1586.67076932516,1586.67076932516,True
28,3.8416584239169813,2.239831095750444,1.3376632965025588,8.058846602813075,1.236890558435525,35.14372,43.695684,1535.6288837044801,1535.6288837044801,True
29,3.0266886907599573,4.3973625164215635,0.5667732355019699,6.840858320439505,1.3929609387995896,34.595220000000005,62.501256,2162.2447015963203,2162.2447015963203,True
30,2.1061360666633355,3.1867010376774796,0.9087852653026655,9.03778110241221,0.7606900033709763,36.26687,46.46934,1685.2975127657999,1685.2975127657999,True
